PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
471,MV,718426.5831,5947511.98,2,KV,N0,216.1,21.3,42.4,15.1,7.4,4.9,2.8,78.7,15.1,6.2,4.82,73.7,47.76,47.76,4.79,955.8,29.84,2.65,1.08,5.369056604
473,MV,735321.4239,5946590.609,1,LL,N2.2,37.52,5.1,20.9,35.2,16.3,8.7,4.7,61.2,29.8,9,4.7,144.7,9.9,9.9,1.05,1102.1,14.69,2.65,1.23,5.101886792
474,MV,743113.6594,5949544.114,1,LL,N2.2,39.73,5.6,18.9,32.2,15.6,9.8,5.4,56.7,30.9,12.4,5.62,230,10.08,10.08,1.03,1325.7,14.49,2.65,1.47,6.490566038
477,MV,769045.3695,5947594.347,1,LL,N0,34.5,3.9,21.1,37.3,15.8,8.4,4.6,62.3,28.8,8.9,7.01,102.2,8.49,8.31,0.87,1358.5,12.67,2.65,1.45,5.065660377
479,MV,784646.1871,5949405.087,1,BB,N2.1,28.83,4.5,25.6,37.8,13.6,7.3,4.2,68,25.1,6.9,5.4,124,8.24,8.24,0.78,1284.1,10.99,2.65,1.31,0.844528302
483,MV,819061.9632,5947625.777,2,KV,N0.2,214.73,1,7.7,60.7,13.6,4.8,2.1,69.4,20.4,10.2,6.47,706,116.4,115,10.7,692.1,86.17,2.65,0.7,0.033207547
486,MV,842228.687,5946985.878,1,PP,N0,55.66,1.1,35.1,58.9,2.3,0.4,0,95,2.6,2.4,6.25,68.2,12.83,12.83,1.17,1405.8,9.26,2.65,1.41,0.050566038
488,NI,376635.6247,5932171.227,1,MC,N0,80.63,0,0.1,8.4,33.9,15.9,5.7,8.5,55.5,36,7.86,161.3,31.12,20.51,2.51,1250,39.44,2.65,1.25,0
489,NI,386811.943,5934167.807,1,YE,N0,84.69,0.6,7.8,67.7,12.1,2.8,1.8,76.1,16.7,7.2,7.77,135.9,43.39,20.49,3.48,1409,27.85,2.65,1.42,0.07245283
490,NI,391847.4621,5933545.004,2,PP,N0,168.36,0.9,11.6,61.2,12,3.9,1.9,73.7,17.8,8.5,5.2,78.7,65.37,65.37,5.6,947.7,39.9,2.65,0.97,0.174339623
493,NI,419442.6628,5937353.877,2,ZZ,N0.1,78.67,0.8,13,61.8,12.2,3.8,1.9,75.5,17.9,6.6,5.88,130.1,39.35,39.35,3.55,1039.2,33.32,2.65,1.05,0.028679245
497,NI,458246.2019,5934771.662,2,MN,N0,77.26,0.1,0.2,18.4,49.8,11.2,3.9,18.7,64.9,16.4,5.56,146.7,69.08,69.08,6.89,774.9,47.3,2.65,0.8,0
499,NI,483306.4457,5936210.603,2,KV,N0.1,311.1,0,0,0,0,0,0,0,0,0,5.11,123.1,314.92,314.92,22.42,478.6,63.7,2.65,0.48,0
500,NI,490651.1367,5933796.534,2,KM,N0,253.6,0,0,0,0,0,0,0,0,0,4.81,263,357.99,357.99,28.5,285.3,100.33,2.65,0.33,0
501,NI,498007.8385,5938223.798,1,PP,N0.2,139.85,7.4,55.1,16.4,10.4,4.1,1.3,78.9,15.8,5.3,6.09,50.2,40.81,40.81,2.14,1159.6,20.08,2.65,1.19,2.471698113
504,NI,519324.4155,5934752.062,2,GG,N0,107.28,4.4,44.1,36.4,6.7,2.7,1.3,85,10.7,4.3,5.59,66,36.15,36.15,3.16,1268.3,10.33,2.65,1.3,1.686037736
